Task_ID,Device_ID,Arrival_Time,Task_Size_MB,Deadline_s,Priority_Level,Network_Latency_Edge_ms,Network_Latency_Cloud_ms
TASK_1,DEVICE_36,1,49,53,High,8,73
TASK_2,DEVICE_21,3,21,58,High,8,68
TASK_3,DEVICE_30,3,30,84,Normal,5,86
TASK_4,DEVICE_21,3,25,70,Normal,7,88
TASK_5,DEVICE_40,6,32,76,Normal,6,70
TASK_6,DEVICE_18,8,50,15,Normal,8,57
TASK_7,DEVICE_22,8,6,18,High,8,77
TASK_8,DEVICE_44,8,47,15,High,5,54
TASK_9,DEVICE_14,8,5,82,High,9,66
TASK_10,DEVICE_42,9,40,41,High,6,86
TASK_11,DEVICE_4,9,30,50,Normal,10,85
TASK_12,DEVICE_10,10,33,85,Normal,7,68
TASK_13,DEVICE_1,10,25,17,Normal,8,76
TASK_14,DEVICE_29,10,15,81,High,8,83
TASK_15,DEVICE_23,11,44,59,Normal,10,60
TASK_16,DEVICE_22,11,15,71,Normal,6,94
TASK_17,DEVICE_19,12,40,93,High,9,96
TASK_18,DEVICE_38,12,43,71,Normal,8,61
TASK_19,DEVICE_25,13,44,16,Normal,6,70
TASK_20,DEVICE_5,13,39,84,High,10,60
TASK_21,DEVICE_15,16,38,93,Normal,5,88
TASK_22,DEVICE_5,16,28,89,Normal,9,77
TASK_23,DEVICE_18,17,26,13,Normal,7,54
TASK_24,DEVICE_22,17,9,15,Normal,8,66
TASK_25,DEVICE_20,18,37,67,Normal,6,69
TASK_26,DEVICE_13,19,40,31,Normal,5,90
TASK_27,DEVICE_45,20,24,35,Normal,7,95
TASK_28,DEVICE_47,21,23,12,Normal,6,61
TASK_29,DEVICE_47,21,39,50,Normal,6,55
TASK_30,DEVICE_48,26,47,69,Normal,7,66
TASK_31,DEVICE_44,26,21,23,Normal,5,100
TASK_32,DEVICE_35,26,49,84,High,10,68
TASK_33,DEVICE_23,26,47,91,High,5,75
TASK_34,DEVICE_17,26,38,21,Normal,9,97
TASK_35,DEVICE_12,27,13,96,Normal,8,93
TASK_36,DEVICE_48,28,30,21,High,7,93
TASK_37,DEVICE_40,28,6,22,High,10,81
TASK_38,DEVICE_26,29,13,34,High,7,55
TASK_39,DEVICE_1,30,13,54,Normal,7,85
TASK_40,DEVICE_44,32,44,28,Normal,5,87
TASK_41,DEVICE_11,32,21,64,Normal,8,60
TASK_42,DEVICE_17,35,5,54,Normal,9,82
TASK_43,DEVICE_8,35,29,17,Normal,6,73
TASK_44,DEVICE_16,35,47,62,Normal,6,72
TASK_45,DEVICE_37,35,44,64,Normal,7,64
TASK_46,DEVICE_33,37,46,41,High,8,76
TASK_47,DEVICE_10,37,29,60,Normal,10,60
TASK_48,DEVICE_10,37,43,53,Normal,5,100
TASK_49,DEVICE_41,37,39,91,Normal,8,99
TASK_50,DEVICE_17,40,7,79,Normal,8,66
TASK_51,DEVICE_44,40,41,27,Normal,5,100
TASK_52,DEVICE_8,42,48,92,Normal,7,63
TASK_53,DEVICE_44,44,48,31,High,8,76
TASK_54,DEVICE_28,45,34,46,Normal,6,67
TASK_55,DEVICE_10,45,42,65,Normal,5,77
TASK_56,DEVICE_49,45,38,68,High,10,100
TASK_57,DEVICE_43,46,16,12,High,9,96
TASK_58,DEVICE_5,48,23,37,Normal,7,96
TASK_59,DEVICE_44,49,41,83,High,5,53
TASK_60,DEVICE_6,49,48,44,Normal,9,56
TASK_61,DEVICE_14,49,21,70,Normal,9,94
TASK_62,DEVICE_50,49,14,63,Normal,10,84
TASK_63,DEVICE_50,49,16,72,High,8,97
TASK_64,DEVICE_20,53,20,88,Normal,10,58
TASK_65,DEVICE_31,53,28,16,High,8,57
TASK_66,DEVICE_40,56,23,85,High,8,94
TASK_67,DEVICE_34,56,12,58,Normal,5,66
TASK_68,DEVICE_3,56,35,94,Normal,5,66
TASK_69,DEVICE_6,56,25,40,Normal,7,98
TASK_70,DEVICE_9,57,21,67,Normal,8,82
TASK_71,DEVICE_30,58,27,70,High,9,81
TASK_72,DEVICE_3,59,41,33,High,6,57
TASK_73,DEVICE_24,59,20,29,Normal,7,68
TASK_74,DEVICE_22,59,10,46,Normal,5,87
